X,Y,OBJECTID,Date,Shift,Blocked_Location_of_Incident,Beat,City_1,Type_of_Resistance,Response,Force_Caused_Injury,Off_Injured,Call_Dispatched_via_911,Call_was_Self_Initiated,Call_in_Response_To
-86.23517671,41.67795191,543,2018/09/19 04:00:00+00,3rd,200 N Eddy St.,9,South Bend,Physical,Taser,No,No,Yes,No,Suspicious Person
-86.2882541,41.72617221,544,2018/08/13 04:00:00+00,2nd,3600 Portage Rd.,22,South Bend,Physical,Taser,Yes,No,Yes,No,Medical Assist
-86.33560022,41.73687406,545,2018/09/21 04:00:00+00,3rd,6400 W Brick Rd.,22,South Bend,Physical,Taser,No,No,Yes,No,Unwanted Person
-86.26245616,41.67637463,546,2018/08/29 04:00:00+00,2nd,100 N. LaPorte Ave.,23,South Bend,Physical,Physical,Yes,No,No,Yes,Traffic Stop
-86.27135686,41.69481806,547,2018/10/07 04:00:00+00,3rd,1500 N Anderson Ave.,20,South Bend,Firearm,Firearm,No,No,Yes,No,Homicide
-86.28365505,41.68925575,548,2018/09/19 04:00:00+00,3rd,1100 N Olive St.,19,South Bend,Physical,Physical,No,No,Yes,No,Domestic
-86.26762541,41.65040919,549,2018/12/13 05:00:00+00,2nd,W Ewing Ave.,25,South Bend,Physical,Physical,No,No,No,Yes,Traffic Stop
-86.20676687,41.69837159,550,2018/09/30 04:00:00+00,2nd,1700 N Crestwood Blvd.,11,South Bend,Physical,Physical,No,No,Yes,No,Motor Vehicle Theft
-86.23545414,41.69125236,551,2019/05/14 04:00:00+00,3rd,1200 N Eddy St,10,South Bend,Physical,Physical,No,No,Yes,No,Unwanted
-86.24593228,41.6497648,552,2019/05/18 04:00:00+00,3rd,300 E Altgeld St,14,South Bend,Armed,Taser,No,No,Yes,,
-86.22023132,41.69928428,553,2019/04/23 04:00:00+00,3rd,1700 N Irish Way,11,South Bend,Physical,Taser,Yes,No,Yes,No,Fight
-86.2348816,41.65461669,554,2019/04/27 04:00:00+00,1st,1900 Miami St,15,South Bend,Physical,Taser,Yes,No,Yes,No,Robbery
-86.28373569,41.6938724,555,2019/05/07 04:00:00+00,3rd,1400 N Olive St,19,South Bend,Physical,Physical,No,No,Yes,Yes,Pursuit
-86.28387241,41.69373686,556,2019/02/28 05:00:00+00,3rd,2400 W Elwood Ave,19,South Bend,Physical,OC,No,No,Yes,No,Domestic
-86.27894751,41.69576223,557,2019/04/20 04:00:00+00,2nd,1600 N Johnson St,20,South Bend,Physical,Physical,Yes,No,Yes,No,Unwanted
-86.24991511,41.65997043,558,2019/05/09 04:00:00+00,2nd,100 E Broadway St,13,South Bend,Physical,Physical,No,Yes,Yes,Yes,Traffic
-86.27408721,41.69599593,559,2019/05/21 04:00:00+00,2nd,1600 N Wilber St,20,South Bend,Physical,Physical,No,No,Yes,No,Warrant
-86.26596882,41.69104768,560,2019/05/03 04:00:00+00,1st,1200 N Portage Ave,21,South Bend,Physical,Taser,No,No,Yes,No,Domestic
-86.26596882,41.69104768,561,2019/05/04 04:00:00+00,1st,1200 N Portage Ave,21,South Bend,Physical,Taser,No,No,Yes,No,Trespass
-86.26380634,41.68776932,562,2019/05/27 04:00:00+00,3rd,1000 W California Ave,21,South Bend,Physical,Taser,No,No,Yes,No,Arson
-86.26485747,41.68716465,563,2019/01/19 05:00:00+00,3rd,900 North Sherman Ave,21,South Bend,Physical,Taser,No,No,Yes,Yes,Traffic
-86.26380634,41.68776932,564,2019/05/28 04:00:00+00,3rd,1000 W California Ave,21,South Bend,Physical,Taser,No,No,Yes,No,Domestic
-86.25360148,41.67911919,565,2019/06/07 04:00:00+00,3rd,300 N Lafayette Blvd,21,South Bend,Armed,Taser,No,No,Yes,No,Warrant
-86.27180168,41.68058926,566,2019/01/02 05:00:00+00,2nd,400 Studebaker Street,23,South Bend,Physical,Physical,No,No,Yes,No,Sus Person
-86.28633295,41.72298638,567,2019/04/22 04:00:00+00,2nd,3300 N Portage Rd,22,South Bend,Physical,Taser,No,No,Yes,Yes,Shooting
-86.2768738,41.6811404,568,2019/05/25 04:00:00+00,3rd,1800 W Sibley St,23,South Bend,Physical,Physical,No,No,Yes,No,Domestic
-86.29862604,41.68789467,569,2019/01/01 05:00:00+00,3rd,3500 Ardmore Trail,24,South Bend,Physical,Physical,No,No,Yes,No,Fight
-86.30036565,41.68839674,570,2019/01/17 05:00:00+00,2nd,3700 N Brentwood Dr,24,South Bend,Physical,Physical,No,No,No,No,Civil 
-86.27401549,41.68533909,571,2019/03/28 04:00:00+00,3rd,1600 Lincoln Way West,23,South Bend,Physical,OC,No,No,Yes,No,Trespass
-86.29862604,41.68789467,572,2019/05/06 04:00:00+00,3rd,3500 Ardmore Trail,24,South Bend,Physical,OC,No,No,Yes,No,Trespass
-86.27302792,41.65355379,573,2019/01/06 05:00:00+00,2nd,1900 Prairie Ave,25,South Bend,Physical,Physical,Yes,No,Yes,No,Fight
-86.23755829,41.65813086,574,2019/01/04 05:00:00+00,3rd,900 Indiana  Ave,25,South Bend,Physical,Physical,No,No,Yes,No,Unwanted
-86.26989899,41.65718706,575,2019/03/04 05:00:00+00,3rd,1400 W Indiana Ave,25,South Bend,Physical,Physical,No,No,Yes,No,Domestic
-86.28235033,41.67198288,576,2019/02/01 05:00:00+00,2nd,2300 W Western Ave,26,South Bend,Physical,Taser,Yes,No,Yes,Yes,Drugs
-86.2996669,41.66822142,577,2019/02/28 05:00:00+00,2nd,3700 W Ford Street,28,South Bend,Physical,Taser,No,No,Yes,Yes,Drugs
-86.31437609,41.65781786,578,2019/05/04 04:00:00+00,2nd,4800 Belleville Ct,28,South Bend,Physical,Taser,No,No,Yes,No,Trespass
-86.29716264,41.67005964,579,2019/05/15 04:00:00+00,1st,500 S Falcon St,28,South Bend,Physical,Physical,No,No,Yes,No,Unwanted
-86.25202314,41.68046136,580,2019/03/16 04:00:00+00,3rd,400 N Main Street,27,South Bend,Physical,Taser,No,No,Yes,No,Fight
-86.30337994,41.67002194,581,2019/06/07 04:00:00+00,2nd,4000 W Huron St,28,South Bend,Physical,Taser,Yes,No,Yes,Yes,Traffic
-86.25600199,41.67642108,586,2019/06/16 04:00:00+00,3rd,100 N William St. ,27,South Bend,Armed,Firearm,Yes,Yes,Yes,No,Sus Person
-86.22017516,41.69795781,589,2019/06/26 04:00:00+00,2nd,2000 E South Bend Ave,11,South Bend,Physical,Taser,No,No,Yes,No,Traffic
-86.25360137,41.67912794,590,2019/06/27 04:00:00+00,2nd,300 N Lafayette Blvd,21,South Bend,Physical,Physical,No,Yes,No,Yes,Trespass
-86.26475347,41.68394365,591,2019/06/28 04:00:00+00,3rd,700 N Sherman Ave,21,South Bend,Physical,Physical,No,No,No,Yes,Traffic Stop
